Especies,Estatus,Grado amenaza UICN
American Coot (Fulica americana),R-M,LC
Baltimore Oriole (Icterus galbula),M,LC
Black Hawk-Eagle (Spizaetus tyrannus),R,LC
Black Phoebe (Sayornis nigricans),R,LC
Black Vulture (Coragyps atratus),R,LC
Black-bellied Whistling-Duck (Dendrocygna autumnalis),R,LC
Black-necked Stilt (Himantopus mexicanus),R-M,LC
Blue-and-white Swallow (Pygochelidon cyanoleuca),R-M,LC
Blue-winged Teal (Spatula discors),M,LC
Broad-winged Hawk (Buteo platypterus),M,LC
Brown Jay (Psilorhinus morio),R,LC
Cabanis's Ground-Sparrow (Melozone cabanisi),R-END,LC
Cabanis's Wren (Cantorchilus modestus),R,LC
Cattle Egret (Bubulcus ibis),R-M,LC
Common Gallinule (Gallinula galeata),R-M,LC
Eastern Meadowlark (Sturnella magna),R,NT
Great Egret (Ardea alba),R-M,LC
Great Kiskadee (Pitangus sulphuratus),R,LC
Great-tailed Grackle (Quiscalus mexicanus),R,LC
Green Heron (Butorides virescens),R-M,LC
Hoffmann's Woodpecker (Melanerpes hoffmannii),R-END,LC
House Sparrow (Passer domesticus),R,LC
House Wren (Troglodytes aedon),R,LC
Inca Dove (Columbina inca),R,LC
Killdeer (Charadrius vociferus),R-M,LC
Least Grebe (Tachybaptus dominicus),R,LC
Lesser Goldfinch (Spinus psaltria),R,LC
Lesson's Motmot (Momotus lessonii),R,LC
Little Blue Heron (Egretta caerulea),R-M,LC
Louisiana Waterthrush (Parkesia motacilla),M,LC
Melodious Blackbird (Dives dives),R,LC
Mistletoe Tyrannulet (Zimmerius parvus),R,LC
Montezuma Oropendola (Psarocolius montezuma),R,LC
Morelet's Seedeater (Sporophila morelleti),R,LC
Mourning Dove (Zenaida macroura),R-M,LC
Mourning Warbler (Geothlypis philadelphia),M,LC
Northern Jacana (Jacana spinosa),R,LC
Northern Rough-winged Swallow (Stelgidopteryx serripennis),R-M,LC
Orange-billed Nightingale-Thrush (Catharus aurantiirostris),R,LC
Red-billed Pigeon (Patagioenas flavirostris),R,LC
Roadside Hawk (Rupornis magnirostris),R,LC
Ruddy Ground-Dove (Columbina talpacoti),R,LC
Rufous-capped Warbler (Basileuterus rufifrons),R,LC
Rufous-collared Sparrow (Zonotrichia capensis),R,LC
Rufous-tailed Hummingbird (Amazilia tzacatl),R,LC
Short-tailed Hawk (Buteo brachyurus),R-M,LC
Snowy Egret (Egretta thula),R-M,LC
Social Flycatcher (Myiozetetes similis),R,LC
Southern Lapwing (Vanellus chilensis),R,LC
Squirrel Cuckoo (Piaya cayana),R,LC
Steely-vented Hummingbird (Amazilia saucerottei),R,LC
Summer Tanager (Piranga rubra),M,LC
Tennessee Warbler (Oreothlypis peregrina),M,LC
Tropical Kingbird (Tyrannus melancholicus),R,LC
Turkey Vulture (Cathartes aura),R-M,LC
White-tailed Kite (Elanus leucurus),R,LC
White-tipped Dove (Leptotila verreauxi),R,LC
White-winged Dove (Zenaida asiatica),R-M,LC
Wilson's Warbler (Cardellina pusilla),M,LC
Yellow Warbler (Setophaga petechia),R-M,LC
Yellow-bellied Siskin (Spinus xanthogastrus),R,LC
Yellow-headed Caracara (Milvago chimachima),R,LC